amount,drivetrain,payment_year,disadvantaged,publicorprivate,grossvehicleweight,manufacturer,vocationaluse,infrastructure,county,assemblydistrict,senatedistrict,air_district,censustract,fleetzipcode
8500,Natural Gas,2017,Yes,Private,"33,001 and up",Autocar,Refuse,No,Orange County,Assembly District 65,Senate District 32,South Coast AQMD,Tract 06059110500,ZIP Code 90621
8500,Natural Gas,2017,Yes,Private,"33,001 and up",Autocar,Refuse,No,Orange County,Assembly District 65,Senate District 32,South Coast AQMD,Tract 06059110500,ZIP Code 90621
8500,Natural Gas,2017,Yes,Private,"33,001 and up",Autocar,Refuse,No,Orange County,Assembly District 65,Senate District 32,South Coast AQMD,Tract 06059110500,ZIP Code 90621
8500,Natural Gas,2017,No,Private,"33,001 and up",Autocar,Refuse,No,San Diego County,Assembly District 79,Senate District 38,San Diego County APCD,Tract 06073003003,ZIP Code 91945
8500,Natural Gas,2017,No,Private,"33,001 and up",Autocar,Refuse,No,San Diego County,Assembly District 79,Senate District 38,San Diego County APCD,Tract 06073003003,ZIP Code 91945
8500,Natural Gas,2017,No,Private,"33,001 and up",Autocar,Refuse,No,San Diego County,Assembly District 75,Senate District 38,San Diego County APCD,Tract 06073020307,ZIP Code 92025
8500,Natural Gas,2017,No,Private,"33,001 and up",Autocar,Refuse,No,San Diego County,Assembly District 75,Senate District 38,San Diego County APCD,Tract 06073020307,ZIP Code 92025
8500,Natural Gas,2017,No,Private,"33,001 and up",Autocar,Refuse,No,San Diego County,Assembly District 75,Senate District 38,San Diego County APCD,Tract 06073020307,ZIP Code 92025
8500,Natural Gas,2017,No,Private,"33,001 and up",Autocar,Refuse,No,San Diego County,Assembly District 75,Senate District 38,San Diego County APCD,Tract 06073020307,ZIP Code 92025
8500,Natural Gas,2017,No,Private,"33,001 and up",Autocar,Refuse,No,San Diego County,Assembly District 75,Senate District 38,San Diego County APCD,Tract 06073020029,ZIP Code 92078
8500,Natural Gas,2017,Yes,Private,"33,001 and up",Autocar,Refuse,No,Los Angeles County,Assembly District 57,Senate District 22,South Coast AQMD,Tract 06037408202,ZIP Code 91746
8500,Natural Gas,2017,Yes,Private,"33,001 and up",Autocar,Refuse,No,Los Angeles County,Assembly District 57,Senate District 22,South Coast AQMD,Tract 06037408202,ZIP Code 91746
8500,Natural Gas,2017,Yes,Private,"33,001 and up",Autocar,Refuse,No,Los Angeles County,Assembly District 57,Senate District 22,South Coast AQMD,Tract 06037408202,ZIP Code 91746
8500,Natural Gas,2017,Yes,Private,"33,001 and up",Autocar,Refuse,No,Los Angeles County,Assembly District 57,Senate District 22,South Coast AQMD,Tract 06037408202,ZIP Code 91746
8500,Natural Gas,2017,Yes,Private,"33,001 and up",Autocar,Refuse,No,Los Angeles County,Assembly District 57,Senate District 22,South Coast AQMD,Tract 06037408202,ZIP Code 91746
8500,Natural Gas,2017,Yes,Private,"33,001 and up",Autocar,Refuse,No,Los Angeles County,Assembly District 57,Senate District 22,South Coast AQMD,Tract 06037408202,ZIP Code 91746
8500,Natural Gas,2017,No,Private,"33,001 and up",Autocar,Refuse,No,San Bernardino County,Assembly District 52,Senate District 20,South Coast AQMD,Tract 06071000504,ZIP Code 91710
8500,Natural Gas,2017,No,Private,"33,001 and up",Autocar,Refuse,No,San Bernardino County,Assembly District 52,Senate District 20,South Coast AQMD,Tract 06071000504,ZIP Code 91710
8500,Natural Gas,2017,No,Private,"33,001 and up",Autocar,Refuse,No,San Bernardino County,Assembly District 52,Senate District 20,South Coast AQMD,Tract 06071000504,ZIP Code 91710
8500,Natural Gas,2017,No,Private,"33,001 and up",Autocar,Refuse,No,San Bernardino County,Assembly District 52,Senate District 20,South Coast AQMD,Tract 06071000504,ZIP Code 91710
8500,Natural Gas,2017,No,Private,"33,001 and up",Autocar,Refuse,No,San Bernardino County,Assembly District 52,Senate District 20,South Coast AQMD,Tract 06071000504,ZIP Code 91710
8500,Natural Gas,2017,No,Private,"33,001 and up",Autocar,Refuse,No,San Bernardino County,Assembly District 52,Senate District 20,South Coast AQMD,Tract 06071000504,ZIP Code 91710
8500,Natural Gas,2017,No,Private,"33,001 and up",Autocar,Refuse,No,San Bernardino County,Assembly District 52,Senate District 20,South Coast AQMD,Tract 06071000504,ZIP Code 91710
8500,Natural Gas,2017,No,Private,"33,001 and up",Autocar,Refuse,No,San Bernardino County,Assembly District 52,Senate District 20,South Coast AQMD,Tract 06071000504,ZIP Code 91710
8500,Natural Gas,2017,No,Private,"33,001 and up",Autocar,Refuse,No,San Bernardino County,Assembly District 52,Senate District 20,South Coast AQMD,Tract 06071000504,ZIP Code 91710
8500,Natural Gas,2017,No,Private,"33,001 and up",Autocar,Refuse,No,San Diego County,Assembly District 79,Senate District 38,San Diego County APCD,Tract 06073003003,ZIP Code 91945
8500,Natural Gas,2017,No,Private,"33,001 and up",Autocar,Refuse,No,San Diego County,Assembly District 75,Senate District 38,San Diego County APCD,Tract 06073020029,ZIP Code 92078
8500,Natural Gas,2017,No,Private,"33,001 and up",Autocar,Refuse,No,San Diego County,Assembly District 75,Senate District 38,San Diego County APCD,Tract 06073020029,ZIP Code 92078
8500,Natural Gas,2017,No,Private,"33,001 and up",Autocar,Refuse,No,San Diego County,Assembly District 75,Senate District 38,San Diego County APCD,Tract 06073020029,ZIP Code 92078
8500,Natural Gas,2017,No,Private,"33,001 and up",Autocar,Refuse,No,San Bernardino County,Assembly District 52,Senate District 20,South Coast AQMD,Tract 06071000504,ZIP Code 91710
8500,Natural Gas,2017,No,Private,"33,001 and up",Autocar,Refuse,No,San Bernardino County,Assembly District 52,Senate District 20,South Coast AQMD,Tract 06071000504,ZIP Code 91710
8500,Natural Gas,2017,No,Private,"33,001 and up",Autocar,Refuse,No,San Bernardino County,Assembly District 52,Senate District 20,South Coast AQMD,Tract 06071000504,ZIP Code 91710
8500,Natural Gas,2017,No,Private,"33,001 and up",Autocar,Refuse,No,San Bernardino County,Assembly District 52,Senate District 20,South Coast AQMD,Tract 06071000504,ZIP Code 91710
8500,Natural Gas,2017,No,Private,"33,001 and up",Autocar,Refuse,No,San Bernardino County,Assembly District 52,Senate District 20,South Coast AQMD,Tract 06071000504,ZIP Code 91710
8500,Natural Gas,2017,No,Private,"33,001 and up",Autocar,Refuse,No,San Bernardino County,Assembly District 52,Senate District 20,South Coast AQMD,Tract 06071000504,ZIP Code 91710
8500,Natural Gas,2017,No,Private,"33,001 and up",Autocar,Refuse,No,San Bernardino County,Assembly District 52,Senate District 20,South Coast AQMD,Tract 06071000504,ZIP Code 91710
8500,Natural Gas,2017,No,Private,"33,001 and up",Autocar,Refuse,No,San Bernardino County,Assembly District 52,Senate District 20,South Coast AQMD,Tract 06071000504,ZIP Code 91710
8500,Natural Gas,2017,No,Private,"33,001 and up",Autocar,Refuse,No,San Bernardino County,Assembly District 52,Senate District 20,South Coast AQMD,Tract 06071000504,ZIP Code 91710
8500,Natural Gas,2017,Yes,Private,"33,001 and up",Autocar,Refuse,No,Orange County,Assembly District 65,Senate District 32,South Coast AQMD,Tract 06059110500,ZIP Code 90621
8500,Natural Gas,2017,No,Private,"33,001 and up",Autocar,Refuse,No,San Diego County,Assembly District 79,Senate District 38,San Diego County APCD,Tract 06073003003,ZIP Code 91945
8500,Natural Gas,2017,No,Private,"33,001 and up",Autocar,Refuse,No,San Diego County,Assembly District 79,Senate District 38,San Diego County APCD,Tract 06073003003,ZIP Code 91945
8500,Natural Gas,2017,No,Private,"33,001 and up",Autocar,Refuse,No,San Diego County,Assembly District 79,Senate District 38,San Diego County APCD,Tract 06073003003,ZIP Code 91945
8500,Natural Gas,2017,No,Private,"33,001 and up",Autocar,Refuse,No,San Diego County,Assembly District 79,Senate District 38,San Diego County APCD,Tract 06073003003,ZIP Code 91945
8500,Natural Gas,2017,No,Private,"33,001 and up",Autocar,Refuse,No,San Diego County,Assembly District 75,Senate District 38,San Diego County APCD,Tract 06073020029,ZIP Code 92078
8500,Natural Gas,2017,Yes,Private,"33,001 and up",Autocar,Refuse,No,Los Angeles County,Assembly District 57,Senate District 22,South Coast AQMD,Tract 06037408202,ZIP Code 91746
8500,Natural Gas,2017,Yes,Private,"33,001 and up",Autocar,Refuse,No,Los Angeles County,Assembly District 57,Senate District 22,South Coast AQMD,Tract 06037408202,ZIP Code 91746
8500,Natural Gas,2017,Yes,Private,"33,001 and up",Autocar,Refuse,No,Los Angeles County,Assembly District 57,Senate District 22,South Coast AQMD,Tract 06037408202,ZIP Code 91746
8500,Natural Gas,2017,Yes,Private,"33,001 and up",Autocar,Refuse,No,Los Angeles County,Assembly District 57,Senate District 22,South Coast AQMD,Tract 06037408202,ZIP Code 91746
8500,Natural Gas,2017,Yes,Private,"33,001 and up",Autocar,Refuse,No,Los Angeles County,Assembly District 57,Senate District 22,South Coast AQMD,Tract 06037408202,ZIP Code 91746
8500,Natural Gas,2017,Yes,Private,"33,001 and up",Autocar,Refuse,No,Los Angeles County,Assembly District 57,Senate District 22,South Coast AQMD,Tract 06037408202,ZIP Code 91746
8500,Natural Gas,2017,Yes,Private,"33,001 and up",Autocar,Refuse,No,Los Angeles County,Assembly District 57,Senate District 22,South Coast AQMD,Tract 06037408202,ZIP Code 91746
8500,Natural Gas,2017,Yes,Private,"33,001 and up",Autocar,Refuse,No,Los Angeles County,Assembly District 57,Senate District 22,South Coast AQMD,Tract 06037408202,ZIP Code 91746
8500,Natural Gas,2017,Yes,Private,"33,001 and up",Autocar,Refuse,No,Orange County,Assembly District 65,Senate District 32,South Coast AQMD,Tract 06059110500,ZIP Code 90621
8500,Natural Gas,2017,No,Private,"33,001 and up",Autocar,Refuse,No,San Diego County,Assembly District 79,Senate District 38,San Diego County APCD,Tract 06073003003,ZIP Code 91945
8500,Natural Gas,2017,No,Private,"33,001 and up",Autocar,Refuse,No,San Diego County,Assembly District 75,Senate District 38,San Diego County APCD,Tract 06073020029,ZIP Code 92078
8500,Natural Gas,2017,No,Private,"33,001 and up",Autocar,Refuse,No,San Diego County,Assembly District 75,Senate District 38,San Diego County APCD,Tract 06073020029,ZIP Code 92078
8500,Natural Gas,2017,No,Public,"33,001 and up",Autocar,Refuse,No,Los Angeles County,Assembly District 70,Senate District 33,South Coast AQMD,Tract 06037980018,ZIP Code 90806
8500,Natural Gas,2017,No,Public,"33,001 and up",Autocar,Refuse,No,Los Angeles County,Assembly District 70,Senate District 33,South Coast AQMD,Tract 06037980018,ZIP Code 90806
8500,Natural Gas,2017,No,Public,"33,001 and up",Autocar,Refuse,No,Los Angeles County,Assembly District 70,Senate District 33,South Coast AQMD,Tract 06037980018,ZIP Code 90806
8500,Natural Gas,2017,No,Public,"33,001 and up",Autocar,Refuse,No,Los Angeles County,Assembly District 70,Senate District 33,South Coast AQMD,Tract 06037980018,ZIP Code 90806
8500,Natural Gas,2017,No,Public,"33,001 and up",Autocar,Refuse,No,Los Angeles County,Assembly District 70,Senate District 33,South Coast AQMD,Tract 06037980018,ZIP Code 90806
8500,Natural Gas,2017,No,Public,"33,001 and up",Autocar,Refuse,No,Los Angeles County,Assembly District 70,Senate District 33,South Coast AQMD,Tract 06037980018,ZIP Code 90806
8500,Natural Gas,2017,No,Public,"33,001 and up",Autocar,Refuse,No,Los Angeles County,Assembly District 70,Senate District 33,South Coast AQMD,Tract 06037980018,ZIP Code 90806
8500,Natural Gas,2017,No,Public,"33,001 and up",Autocar,Refuse,No,Los Angeles County,Assembly District 70,Senate District 33,South Coast AQMD,Tract 06037980018,ZIP Code 90806
8500,Natural Gas,2017,No,Public,"33,001 and up",Autocar,Refuse,No,Los Angeles County,Assembly District 70,Senate District 33,South Coast AQMD,Tract 06037980018,ZIP Code 90806
8500,Natural Gas,2017,No,Public,"33,001 and up",Autocar,Refuse,No,Los Angeles County,Assembly District 70,Senate District 33,South Coast AQMD,Tract 06037980018,ZIP Code 90806
8500,Natural Gas,2017,Yes,Private,"33,001 and up",Autocar,Refuse,No,Los Angeles County,Assembly District 57,Senate District 22,South Coast AQMD,Tract 06037408202,ZIP Code 91746
8500,Natural Gas,2017,Yes,Private,"33,001 and up",Autocar,Refuse,No,Los Angeles County,Assembly District 57,Senate District 22,South Coast AQMD,Tract 06037408202,ZIP Code 91746
8500,Natural Gas,2017,Yes,Private,"33,001 and up",Autocar,Refuse,No,Los Angeles County,Assembly District 57,Senate District 22,South Coast AQMD,Tract 06037408202,ZIP Code 91746
8500,Natural Gas,2017,Yes,Private,"33,001 and up",Autocar,Refuse,No,Los Angeles County,Assembly District 57,Senate District 22,South Coast AQMD,Tract 06037408202,ZIP Code 91746
8500,Natural Gas,2017,Yes,Private,"33,001 and up",Autocar,Refuse,No,Los Angeles County,Assembly District 57,Senate District 22,South Coast AQMD,Tract 06037408202,ZIP Code 91746
8500,Natural Gas,2017,Yes,Private,"33,001 and up",Autocar,Refuse,No,Los Angeles County,Assembly District 57,Senate District 22,South Coast AQMD,Tract 06037408202,ZIP Code 91746
8500,Natural Gas,2017,Yes,Private,"33,001 and up",Autocar,Refuse,No,Los Angeles County,Assembly District 57,Senate District 22,South Coast AQMD,Tract 06037408202,ZIP Code 91746
8500,Natural Gas,2017,Yes,Private,"33,001 and up",Autocar,Refuse,No,Los Angeles County,Assembly District 57,Senate District 22,South Coast AQMD,Tract 06037408202,ZIP Code 91746
8500,Natural Gas,2017,Yes,Private,"33,001 and up",Autocar,Refuse,No,Los Angeles County,Assembly District 57,Senate District 22,South Coast AQMD,Tract 06037408202,ZIP Code 91746
8500,Natural Gas,2017,Yes,Private,"33,001 and up",Autocar,Refuse,No,Los Angeles County,Assembly District 57,Senate District 22,South Coast AQMD,Tract 06037408202,ZIP Code 91746
8500,Natural Gas,2017,Yes,Private,"33,001 and up",Autocar,Refuse,No,Los Angeles County,Assembly District 57,Senate District 22,South Coast AQMD,Tract 06037408202,ZIP Code 91746
8500,Natural Gas,2017,Yes,Private,"33,001 and up",Autocar,Refuse,No,Los Angeles County,Assembly District 57,Senate District 22,South Coast AQMD,Tract 06037408202,ZIP Code 91746
8500,Natural Gas,2017,Yes,Private,"33,001 and up",Autocar,Refuse,No,Los Angeles County,Assembly District 57,Senate District 22,South Coast AQMD,Tract 06037408202,ZIP Code 91746
